#;scans;Technique_of_Medical_Image;Plane;body_part;modality_label_rm;Secuence_label;calidad;modality_label_rx;modality_label_ct;modality_label_nm;modality_label_us;modality_label_light;modality_label_elec;modality_label_oph;Columna2;Contrast
37;fl3d_ce_cor_SUB;MRI;cor;;;flair;3D;;;;;;;;;
37;AXDIFUSION1000b;MRI;ax;;dwi;;;;;;;;;;;
36;t1FS_vibe_tra_GD;MRI;ax;;T1w;;;;;;;;;;;
36;AxT2frFSE;MRI;ax;;T2w;tse;;;;;;;;;;
36;SagSTIRcervicalcte;MRI;sag;;;stir;;;;;;;;;;
35;AXIALGRADIENTT2;MRI;ax;;T2w;gre;;;;;;;;;;
35;OPCSAGVENOSO;MRI;sag;;;;;;;;;;;;;
35;CORFSET2;MRI;cor;;T2w;tse;;;;;;;;;;
35;SAGITALT1ALTARESOLUCION;MRI;sag;;T1w;;;;;;;;;;;
35;CORT2LOBTEMPHR;MRI;cor;;T2w;tse;;;;;;;;;;
35;SagCUBEFLAIROK;MRI;sag;;;flair;;;;;;;;;;
35;ILLIS;MRI;;;;;;;;;;;;;;
34;SAGFSPGR3D;MRI;sag;;;;3D;;;;;;;;;
34;LOCFiesta;MRI;;;;;;;;;;;;;;
34;FSPGRBRAVO;MRI;;;;;;;;;;;;;;
34;VASCVENOSOgd;MRI;;;;;;;;;;;;;;
34;DIFURESOLVE_TRACEW;MRI;ax;;dwi;;;;;;;;;;;
34;DIFURESOLVE_ADC;MRI;;;dwi;;;;;;;;;;;
34;SAGSENOS;MRI;sag;;;;;;;;;;;;;
34;sT1W_3D_FFEPROSET;MRI;;;T1w;;3D;;;;;;;;;
33;AXIALFLAIR40CORTES;MRI;ax;;;flair;;;;;;;;;;
33;COR3DCAROTIDAS;MRI;cor;;;;3D;;;;;;;;;
33;WILLIS2;MRI;;;;;;;;;;;;;;
33;AXT1FSE;MRI;ax;;T1w;;;;;;;;;;;
33;SAGVENOSO;MRI;sag;;;;;;;;;;;;;
33;DORSAL;MRI;;;;;;;;;;;;;;
33;LOCSAG2DPCSOLOLOCALIZ;MRI;sag;;;;;;;;;;;;;
33;MPRgruesaRango2;MRI;;;;;;;;;;;;;;
33;sagT2AR;MRI;sag;;T2w;tse;;;;;;;;;;
32;SAGITALT1FSGD;MRI;sag;;T1w;;;;;;;;;;;
32;MIPRango1;MRI;;;;;;;;;;;;;;
31;AxFAME;MRI;ax;;;;;;;;;;;;;
31;ax3DT1CERVICAL;MRI;ax;;T1w;;3D;;;;;;;;;
31;CORONALT2;MRI;cor;;T2w;tse;;;;;;;;;;
31;AXIALT1FSGD;MRI;ax;;T1w;;;;;;;;;;;
31;AXI3DT1GD;MRI;ax;;T1w;;3D;;;;;;;;;
31;AXT1;MRI;ax;;T1w;;;;;;;;;;;
30;AXIALT1SE;MRI;ax;;T1w;;;;;;;;;;;
30;AXIAL_T2__3mm_;MRI;ax;;T2w;tse;;;;;;;;;;
30;AxT1MTSE;MRI;ax;;T1w;tse;;;;;;;;;;
30;WILLIS1;MRI;;;;;;;;;;;;;;
30;AX3Dcerebral;MRI;ax;;;;3D;;;;;;;;;
30;SagT2frFSEDORSAL;MRI;sag;;T2w;tse;;;;;;;;;;
29;Sag2DPC;MRI;sag;;;;;;;;;;;;;
29;AXI3DT1FSPGR8C5CM;MRI;ax;;T1w;;3D;;;;;;;;;
29;AXT2TODALACABEZA;MRI;ax;;T2w;tse;;;;;;;;;;
29;CORT2TODALACABEZA;MRI;cor;;T2w;tse;;;;;;;;;;
29;AXIAL3DISOGD;MRI;ax;;;;3D;;;;;;;;;
29;CORONALREF;MRI;cor;;;;;;;;;;;;;
29;SagT1FSECERVICALGD;MRI;sag;;T1w;;;;;;;;;;;
29;STIR_TSE;MRI;;;;stir;;;;;;;;;;
29;AXDPT2CEREBRALCTE;MRI;ax;;T2w;tse;;;;;;;;;;
29;CORONALREFORMAT;MRI;cor;;;;;;;;;;;;;
28;CORT1FSE;MRI;cor;;T1w;;;;;;;;;;;
28;t1_mprage_sag_p2_iso_10;MRI;sag;;T1w;mprage;;;;;;;;;;
28;SagSTIRdorsal;MRI;sag;;;stir;;;;;;;;;;
28;AXDIFUSION;MRI;ax;;dwi;;;;;;;;;;;
28;CORT2HRlesion;MRI;cor;;T2w;tse;;;;;;;;;;
27;CORSSFSE;MRI;cor;;;;;;;;;;;;;
27;AXIDWI1000bASSET;MRI;ax;;dwi;;;;;;;;;;;
27;T1GDTRA;MRI;ax;;T1w;;;;;;;;;;;
27;AXIALT2ME2DIPATCERVII;MRI;ax;;T2w;tse;;;;;;;;;;
27;AXIAL3DTOFWILLIS_MIP_SAG;MRI;ax;;;;3D;;;;;;;;;
27;SAGITALT2ALTARESOLUCION;MRI;sag;;T2w;tse;;;;;;;;;;
27;sagFIESTAC;MRI;sag;;;;;;;;;;;;;
27;T2TRASENSE;MRI;ax;;T2w;tse;;;;;;;;;;
27;AxFAMEgd;MRI;ax;;;;;;;;;;;;;
27;AXIAL3DTOFWILLIS;MRI;ax;;;;3D;;;;;;;;;
27;SagT2frFSECERVICAL;MRI;sag;;T2w;tse;;;;;;;;;;
27;AXIAL3DTOFWILLIS_MIP_TRA;MRI;ax;;;;3D;;;;;;;;;
27;AXIAL3DTOFWILLIS_MIP_COR;MRI;ax;;;;3D;;;;;;;;;
26;AXGRET2Merge;MRI;ax;;T2w;gre;;;;;;;;;;
26;AXIALDIFUSION;MRI;ax;;dwi;;;;;;;;;;;
26;COR3DT1NIOS;MRI;cor;;T1w;;3D;;;;;;;;;
26;AXIALIRT1;MRI;ax;;T1w;;;;;;;;;;;
26;AX3Dcervicalt1;MRI;ax;;T1w;;3D;;;;;;;;;
26;MultiPlanarReconstructionMPROb_Sag_RL_Average_sp50_th50;MRI;sag;;;;;;;;;;;;;
26;MultiPlanarReconstructionMPROb_Ax_IS_Average_sp50_th50;MRI;ax;;;;;;;;;;;;;
26;CORT1GD;MRI;cor;;T1w;;;;;;;;;;;
26;SAGITALT1CERVGD;MRI;sag;;T1w;;;;;;;;;;;
26;CEREBRALGDCORONAL;MRI;cor;;;;;;;;;;;;;
26;SWANgreSWI;MRI;;;SWI;;;;;;;;;;;
26;AXI3DT1;MRI;ax;;T1w;;3D;;;;;;;;;
25;CORONALSSFSE;MRI;cor;;;;;;;;;;;;;
25;AX3DCEREBRALcte;MRI;ax;;;;3D;;;;;;;;;
25;AxT2DORSAL;MRI;ax;;T2w;tse;;;;;;;;;;
25;CEREBRAL;MRI;;;;;;;;;;;;;;
25;SAGITALT1SECTE;MRI;sag;;T1w;;;;;;;;;;;
25;MultiPlanarReconstructionMPROb_Cor_AP_Average_sp50_th50;MRI;cor;;;;;;;;;;;;;
25;sT1W_3D_TFE;MRI;;;T1w;;3D;;;;;;;;;
25;ILLIS_1;MRI;;;;;;;;;;;;;;
25;ILLIS_2;MRI;;;;;;;;;;;;;;
25;PROBEPRESSTECORTO;MRI;cor;;;;;;;;;;;;;
25;AxDIFb3000;MRI;ax;;dwi;;;;;;;;;;;
25;SAGITALSTIRIPAT2LUMB;MRI;sag;;T2w;stir;;;;;;;;;;
25;SAGITALT2PAT2LUMB;MRI;sag;;T2w;tse;;;;;;;;;;
25;CEREBRALGDSAGITAL;MRI;sag;;;;;;;;;;;;;
24;AXFLAIRSENSE;MRI;ax;;;flair;;;;;;;;;;
24;SAGITALT1GD;MRI;sag;;T1w;;;;;;;;;;;
24;williscoronal;MRI;cor;;;;;;;;;;;;;
24;OAxdynEPISEEPI;MRI;ax;;;;;;;;;;;;;
24;PUAxDWITetra4NEX;MRI;ax;;dwi;;;;;;;;;;;
24;flow_vencscout_691215_P;MRI;;;;flair;;;;;;;;;;
23;SAGITALSTIR320;MRI;sag;;;stir;;;;;;;;;;
23;AXI3DVIBE;MRI;ax;;;;3D;;;;;;;;;
23;AxialT2Flair;MRI;ax;;;flair;;;;;;;;;;
23;t2_haste_LOC;MRI;;;T2w;haste;;;;;;;;;;
23;SagCUBET1;MRI;sag;;T1w;;;;;;;;;;;
23;COR;MRI;cor;;;;;;;;;;;;;
23;LOC3PLANS;MRI;3pl;;;;;;;;;;;;;
23;SAGITALT1TSEIPAT2LUMB;MRI;sag;;T1w;tse;;;;;;;;;;
23;P3PLANOS8HRBRAIN;MRI;3pl;;;;;;;;;;;;;
23;SAGT2ARLINEAMEDIA;MRI;sag;;T2w;tse;;;;;;;;;;
23;NEURONAVSINGD;MRI;;;;;;;;;;;;;;
23;AXIAL3DNAVEGACION;MRI;ax;;;;3D;;;;;;;;;
23;AxPROBE2DSIPRESS144TE;MRI;ax;;;;;;;;;;;;;
23;AXIALREF;MRI;ax;;;;;;;;;;;;;
22;TRONCOS;MRI;;;;;;;;;;;;;;
22;AXI3DT1CERVICALC2C6;MRI;ax;;T1w;;3D;;;;;;;;;
22;CorceMRAFTelliptic;MRI;cor;;;;;;;;;;;;;
22;AXGRADT2;MRI;ax;;T2w;gre;;;;;;;;;;
22;3DNEURONAVEGADOR;MRI;;;;;3D;;;;;;;;;GD
22;SagT2;MRI;sag;;T2w;tse;;;;;;;;;;
22;AxT1SE;MRI;ax;;T1w;;;;;;;;;;;
22;AxT2FLAIRPROPELLER;MRI;ax;;;flair;;;;;;;;;;
22;AXIDPT2FRFSE2NEX;MRI;ax;;T2w;tse;;;;;;;;;;
22;AXIAL3DT1CERVICALC2C6;MRI;ax;;T1w;;3D;;;;;;;;;
22;TRANSVERSAL;MRI;ax;;;;;;;;;;;;;
22;t2_tse_SAG_2mm;MRI;sag;;T2w;tse;;;;;;;;;;
22;SagT1LUMBAR;MRI;sag;;T1w;;;;;;;;;;;
22;MPRColeccin;MRI;;;;;;;;;;;;;;
22;AXT1W_SE;MRI;ax;;T1w;;;;;;;;;;;
21;AX3DT1CERVICALC2C6;MRI;ax;;T1w;;3D;;;;;;;;;
21;AXIAL3DT1NAVVACIO;MRI;ax;;T1w;;3D;;;;;;;;;
21;AxT2PROPELLER5mm;MRI;ax;;T2w;tse;;;;;;;;;;
21;Ax3DTOF;MRI;ax;;;;3D;;;;;;;;;
21;3DAXISENOARTERIALANEUINTRA;MRI;ax;;;;3D;;;;;;;;;
21;COLAx3DTOF;MRI;ax;;;;3D;;;;;;;;;
21;AxDWIb1000;MRI;ax;;dwi;;;;;;;;;;;
21;LOCdorsal;MRI;;;;;;;;;;;;;;
21;AXIALSTIR;MRI;ax;;;stir;;;;;;;;;;
21;ILLIS_CORONAL;MRI;cor;;;;;;;;;;;;;
21;Ph1CorceMRAFTelliptic;MRI;cor;;;;;;;;;;;;;
21;AXIALT1SEcteCEREBRAL;MRI;ax;;T1w;;;;;;;;;;;
20;AxT1Locgd12CORTES;MRI;ax;;T1w;;;;;;;;;;;
20;AXIALFLUJOCAROTIDAS;MRI;ax;;;flair;;;;;;;;;;
20;3DTOFMTout;MRI;;;;;3D;;;;;;;;;
20;MPRRango3;MRI;;;;;;;;;;;;;;
20;3DFIESTAC;MRI;;;;;3D;;;;;;;;;
20;AXT1FLAIR;MRI;ax;;T1w;flair;;;;;;;;;;
20;CORT2HR;MRI;cor;;T2w;tse;;;;;;;;;;
20;AxT2TSEPROPELLER;MRI;ax;;T2w;tse;;;;;;;;;;
20;AXIt1_fl3d_VIBE_3D;MRI;ax;;T1w;flair;3D;;;;;;;;;
20;AXIAL3DT1GD;MRI;ax;;T1w;;3D;;;;;;;;;
20;SENOVENOSO;MRI;;;;;;;;;;;;;;
20;AXIALREFORMAT;MRI;ax;;;;;;;;;;;;;
20;AXFastCINEPC;MRI;ax;;;;;;;;;;;;;
20;AXT13DFSPGRIRpreped;MRI;ax;;T1w;;3D;;;;;;;;;
19;3D_Brain_VIEW_FLAIR;MRI;;;;flair;3D;;;;;;;;;
19;DUAL_TSE;MRI;;;;tse;;;;;;;;;;
19;AXIALT2FSORBITAS;MRI;ax;;T2w;tse;;;;;;;;;;
19;AXDPTODALACABEZA;MRI;ax;;;;;;;;;;;;;
19;ax3DT1CTECEREBRAL;MRI;ax;;T1w;;3D;;;;;;;;;
19;SAGT1MPRAGE;MRI;sag;;T1w;mprage;;;;;;;;;;
19;AXIALDPT2FRFSE2NEX;MRI;ax;;T2w;tse;;;;;;;;;;
19;AxINFAT;MRI;ax;;;;;;;;;;;;;
19;AxT2SSFSEBH;MRI;ax;;T2w;tse;;;;;;;;;;
19;SAGT2LUMBAR;MRI;sag;;T2w;tse;;;;;;;;;;
19;AXT2FRFSE;MRI;ax;;T2w;tse;;;;;;;;;;
19;LOCCERVICAL;MRI;;;;;;;;;;;;;;
18;Ob_Ax_SI_Average_sp14_th14;MRI;ax;;;;;;;;;;;;;
18;ILLIS01;MRI;;;;;;;;;;;;;;
18;ILLIS02;MRI;;;;;;;;;;;;;;
18;AxT1FSEThin;MRI;ax;;T1w;;;;;;;;;;;
18;STIR_longTE;MRI;;;;stir;;;;;;;;;;
18;Ax3DNAVEGACIONSINCTE;MRI;ax;;;;3D;;;;;;;;;
18;CORONALT2FLAIRFS;MRI;cor;;;flair;;;;;;;;;;
18;CorT1FSEThinFS;MRI;cor;;T1w;;;;;;;;;;;
18;WILLIS;MRI;;;;;;;;;;;;;;
18;AXT1GD;MRI;ax;;T1w;;;;;;;;;;;
18;AxT2FSE;MRI;ax;;T2w;tse;;;;;;;;;;
18;PERFUSIONCONTRASTE;MRI;ax;;pwi;;;;;;;;;;;
18;SAGITALFLAIR;MRI;sag;;;flair;;;;;;;;;;
18;AxFRFSET2ASSET40cortes;MRI;ax;;T2w;tse;;;;;;;;;;
18;AxT1MTSECTE;MRI;ax;;T1w;tse;;;;;;;;;;
18;CORT2PROPELLER;MRI;cor;;T2w;tse;;;;;;;;;;
18;coronalt1;MRI;cor;;T1w;;;;;;;;;;;
18;TOF;MRI;;;;;;;;;;;;;;
18;SAGGADO;MRI;sag;;;;;;;;;;;;;GD
18;AXIALT2ME2DIPAT;MRI;ax;;T2w;tse;;;;;;;;;;
17;AXISTIR;MRI;ax;;;stir;;;;;;;;;;
17;CORONALCUBET1;MRI;cor;;T1w;;;;;;;;;;;
17;AXIALDIFUSION_TRACEW;MRI;ax;;dwi;;;;;;;;;;;
17;SAGSSFSET2;MRI;sag;;T2w;tse;;;;;;;;;;
17;AXT1SIPEDIATRIAMENOS3AOS;MRI;ax;;T1w;;;;;;;;;;;
17;PosDisp9SAGITALT2CERV;MRI;sag;;T2w;tse;;;;;;;;;;
17;CORONALT2_2mm;MRI;cor;;T2w;tse;;;;;;;;;;
17;CorT1FSEThinFSC;MRI;cor;;T1w;;;;;;;;;;;
17;SAGITALREF;MRI;sag;;;;;;;;;;;;;
17;MIPRango2;MRI;;;;;;;;;;;;;;
17;AxT1;MRI;ax;;T1w;;;;;;;;;;;
17;CorT2FSEThinFS;MRI;cor;;T2w;tse;;;;;;;;;;
17;mip;MRI;;;;;;;;;;;;;;
17;HASTESTIRCORONALT2DORSALMORO;MRI;cor;;T2w;stir;;;;;;;;;;
17;SAGT1Flair;MRI;sag;;T1w;flair;;;;;;;;;;
17;SAGITALCUBET1;MRI;sag;;T1w;;;;;;;;;;;
17;AXIALT1PERF;MRI;ax;;pwi;;;;;;;;;;;
17;cervical;MRI;;;;;;;;;;;;;;
17;DIFUSIONADC_ADC;MRI;;;dwi;;;;;;;;;;;
17;3DSENOMASCARAANEUINTRA;MRI;ax;;;;3D;;;;;;;;;
17;3DTOFF;MRI;;;;;3D;;;;;;;;;
17;VASCCAROTIDAS;MRI;;;;;;;;;;;;;;
17;AXIALCUBET1;MRI;ax;;T1w;;;;;;;;;;;
16;V3D_Brain_VIEW_FLAIRSENSE;MRI;;;;flair;3D;;;;;;;;;
16;Sag3DT2FlairCube;MRI;sag;;;flair;3D;;;;;;;;;
16;EPIDIFUSIONTRA3mm;MRI;ax;;dwi;;;;;;;;;;;
16;AXIALT1GD;MRI;ax;;T1w;;;;;;;;;;;
16;AxT1SECTE;MRI;ax;;T1w;;;;;;;;;;;
16;TOF3DPOLIGONOIPAT_MIP_SAG;MRI;sag;;;;3D;;;;;;;;;
16;PERFUSIONLOC;MRI;;;pwi;;;;;;;;;;;
16;AXIALDWI1000bASSET;MRI;ax;;dwi;;;;;;;;;;;
16;EPIDIFUSIONTRA3mm_ADC;MRI;ax;;dwi;;;;;;;;;;;
16;Sagittal3DT1;MRI;sag;;T1w;;3D;;;;;;;;;
16;CareBolus_cor;MRI;cor;;;;;;;;;;;;;
16;TOF3DPOLIGONOIPAT_MIP_TRA;MRI;ax;;;;3D;;;;;;;;;
16;AxT2FRFSEFS;MRI;ax;;T2w;tse;;;;;;;;;;
16;AxFSPGRBRAVO;MRI;ax;;;;;;;;;;;;;
16;TOF3DPOLIGONOIPAT_MIP_COR;MRI;cor;;;;3D;;;;;;;;;
16;CORONALT1FSGD;MRI;cor;;T1w;;;;;;;;;;;
16;TOF3DPOLIGONOIPAT;MRI;;;;;3D;;;;;;;;;
16;T2;MRI;;;T2w;tse;;;;;;;;;;
16;t2_spc_tra_p2_iso_06;MRI;ax;;T2w;tse;;;;;;;;;;
16;AXIT2;MRI;ax;;T2w;tse;;;;;;;;;;
16;AXIALGRADIENTET23mm;MRI;ax;;T2w;gre;;;;;;;;;;
16;AXIALIRT13mm;MRI;ax;;T1w;;;;;;;;;;;
16;3D_FLAIR;MRI;;;;flair;3D;;;;;;;;;
16;CORONALT1SEGD;MRI;cor;;T1w;;;;;;;;;;;
16;axcubeflairt2;MRI;ax;;;flair;;;;;;;;;;
16;LOCLUMBAR;MRI;;;;;;;;;;;;;;
15;SAGT2AR;MRI;sag;;T2w;tse;;;;;;;;;;
15;MobiView;MRI;;;;;;;;;;;;;;
15;AXIALT1FLAIR;MRI;ax;;T1w;flair;;;;;;;;;;
15;AXT1FSPGR3DNAVEGADORASSET;MRI;ax;;T1w;;3D;;;;;;;;;GD
15;COR3DCAROTIDAS_SUB_MIP_COR;MRI;cor;;;;3D;;;;;;;;;
15;AXIALDIFUSION_ADC;MRI;ax;;dwi;;;;;;;;;;;
15;SAGT1FSEXL;MRI;sag;;T1w;;;;;;;;;;;
15;CORONALT2HRDETCOGNITIV;MRI;cor;;T2w;tse;;;;;;;;;;
15;ax3DT1CEREBRAL;MRI;ax;;T1w;;3D;;;;;;;;;
15;Ob_Cor_AP_Average_sp102_th102;MRI;cor;;;;;;;;;;;;;
15;SagT1MEMPcte;MRI;sag;;T1w;;;;;;;;;;;
15;MR1-3plT2FGREXL;MRI;3pl;;T2w;gre;;;;;;;;;;
15;3plT2FGRE;MRI;3pl;;T2w;gre;;;;;;;;;;
15;3D_T1;MRI;;;T1w;;3D;;;;;;;;;
15;COR3DCAROTIDAS_SUB;MRI;cor;;;;3D;;;;;;;;;
15;COR3DCAROTIDAS_SUB_MIP_SAG;MRI;cor;;;;3D;;;;;;;;;
15;Ob_Sag_RL_Average_sp102_th102;MRI;sag;;;;;;;;;;;;;
15;AXIAL2DPCFLUJOFreqdirRL;MRI;ax;;;flair;;;;;;;;;;
15;SAGITALT2ARLINEAMEDIA;MRI;sag;;T2w;tse;;;;;;;;;;
15;sagT2FLAIR;MRI;sag;;;flair;;;;;;;;;;
15;SWANCEREBRAL;MRI;;;;;;;;;;;;;;
15;SagSTIRLUMBAR;MRI;sag;;;stir;;;;;;;;;;
15;AXIAL3DT1NAVEGACION;MRI;ax;;T1w;;3D;;;;;;;;;
15;3DSENOARTERIALANEUINTRA;MRI;ax;;;;3D;;;;;;;;;
15;AXT1mempgad;MRI;ax;;T1w;;;;;;;;;;;
15;AXIAL3DVIBE;MRI;ax;;;;3D;;;;;;;;;
14;T1W_aTSE;MRI;;;T1w;tse;;;;;;;;;;
14;T1SESAG;MRI;sag;;T1w;;;;;;;;;;;
14;SAGT1FS;MRI;sag;;T1w;;;;;;;;;;;
14;T1W_IR_TSE;MRI;;;T1w;tse;;;;;;;;;;
14;AXIALDIFUSIN_ADC;MRI;ax;;dwi;;;;;;;;;;;
14;VASC__VENOSO_gd;MRI;;;;;;;;;;;;;;
14;PCAXIALDIRECCCAROTIDAS_MAG;MRI;ax;;;;;;;;;;;;;
14;AXIALT1MEMP;MRI;ax;;T1w;;;;;;;;;;;
14;AXIALFSPGR3Dcerebral;MRI;ax;;;;3D;;;;;;;;;
14;AXIALDIFUSIN;MRI;ax;;dwi;;;;;;;;;;;
14;PERFUSIONGRADIENTE;MRI;;;pwi;;;;;;;;;;;
14;PCAXIALDIRECCCAROTIDAS;MRI;ax;;;;;;;;;;;;;
14;AXIGRADIENTET2;MRI;ax;;T2w;gre;;;;;;;;;;
14;SagT1FSEDORSALCTE;MRI;sag;;T1w;;;;;;;;;;;
14;AXT2AR;MRI;ax;;T2w;tse;;;;;;;;;;
14;AXIALT1VIBE_p2;MRI;ax;;T1w;;;;;;;;;;;
14;t2_ci3d_AXIAL;MRI;ax;;T2w;tse;3D;;;;;;;;;
14;PCAXIALDIRECCCAROTIDAS_P;MRI;ax;;;;;;;;;;;;;
14;MR1-LOC3P;MRI;3pl;;;;;;;;;;;;;
14;Ax3DFIESTA;MRI;ax;;;;3D;;;;;;;;;
14;AXIALFLAIRT244C;MRI;ax;;;flair;;;;;;;;;;
14;CORT2HIPOCAMPOSDETCOGNIT;MRI;cor;;T2w;tse;;;;;;;;;;
14;ep2d_diff_mddw_12;MRI;;;dwi;;;;;;;;;;;
14;SAGITALT1DORSAL;MRI;sag;;T1w;;;;;;;;;;;
14;TSA;MRI;;;;;;;;;;;;;;
14;SagT2FLAIR;MRI;sag;;;flair;;;;;;;;;;
13;CorT1FSEThinC;MRI;cor;;T1w;;;;;;;;;;;
13;AXINFATSAT;MRI;ax;;;;;;;;;;;;;
13;AXIALT1FSECERVICALGD;MRI;ax;;T1w;;;;;;;;;;;
13;PDT2;MRI;;;T2w;tse;;;;;;;;;;
13;AxT1conDOBLEDOSIS;MRI;ax;;T1w;;;;;;;;;;;
13;T2TSECOR;MRI;cor;;T2w;tse;;;;;;;;;;
13;AXIALFLAIR44C;MRI;ax;;;flair;;;;;;;;;;
13;AXI2DPCFLUJOFreqdirRL;MRI;ax;;;flair;;;;;;;;;;
13;AxT1sin;MRI;ax;;T1w;;;;;;;;;;;
13;DIFUSIONB0B1000;MRI;;;dwi;;;;;;;;;;;
13;AXIALT2DISCOSLUMB;MRI;ax;;T2w;tse;;;;;;;;;;
13;CorSSFSEARC;MRI;cor;;;;;;;;;;;;;
13;Ax3DFSPGRT1VACIO;MRI;ax;;T1w;;3D;;;;;;;;;
13;AxDPT2;MRI;ax;;T2w;tse;;;;;;;;;;
13;CORINFATSATGD;MRI;cor;;;;;;;;;;;;;
13;SAGT1lumbarGD;MRI;sag;;T1w;;;;;;;;;;;
13;SAGT1mempGD;MRI;sag;;T1w;;;;;;;;;;;
13;AxDWIb800;MRI;ax;;dwi;;;;;;;;;;;
13;CORONALT225MMLOBTEMPORALES;MRI;cor;;T2w;tse;;;;;;;;;;
13;SAGREFORMAT;MRI;sag;;;;;;;;;;;;;
13;GADOTRACLEAR;MRI;ax;;;;;;;;;;;;;GD
13;SAGT2FRFSELUMBAR;MRI;sag;;T2w;tse;;;;;;;;;;
13;corcubeflairt2;MRI;cor;;;flair;;;;;;;;;;
13;AxT1FSEThinC;MRI;ax;;T1w;;;;;;;;;;;
13;AXT1memp;MRI;ax;;T1w;;;;;;;;;;;
13;3DSENOVENOSOANEUINTRA;MRI;ax;;;;3D;;;;;;;;;
13;AXDPT230;MRI;ax;;T2w;tse;;;;;;;;;;
13;AXFAMEcte;MRI;ax;;;;;;;;;;;;;
13;MIELO;MRI;;;;;;;;;;;;;;
13;AXSTIR;MRI;ax;;;stir;;;;;;;;;;
13;AXIALMEDIC15c;MRI;ax;;;;;;;;;;;;;
12;Ob_Ax_IS_Average_sp50_th50;MRI;ax;;;;;;;;;;;;;
12;Ob_Cor_AP_Average_sp50_th50;MRI;cor;;;;;;;;;;;;;
12;AXIALVIBEFSDINAMICO;MRI;ax;;;;;;;;;;;;;
12;AverageDCET;MRI;;;;;;;;;;;;;;
12;AXIALINFS;MRI;ax;;;;;;;;;;;;;
12;Loccerv;MRI;;;;;;;;;;;;;;
12;MPROb_Cor_AP_Average_sp094_th094;MRI;cor;;;;;;;;;;;;;
12;PosDisp8SAGITALT2CERV;MRI;sag;;T2w;tse;;;;;;;;;;
12;HASTET2CORONAL;MRI;cor;;T2w;haste;;;;;;;;;;
12;COLAx3DTOF1slab;MRI;ax;;;;3D;;;;;;;;;
12;3DAXISENOMASCARAANEUINTRA;MRI;ax;;;;3D;;;;;;;;;
12;CORONALFRFSET2;MRI;cor;;T2w;tse;;;;;;;;;;
12;AXpdt2;MRI;ax;;PDT2;;;;;;;;;;;
12;POSTERIOR;MRI;;;;;;;;;;;;;;
12;IZQUIERDA;MRI;;;;;;;;;;;;;;
12;PC_DIR_FLUJO_AXIAL_P;MRI;ax;;;flair;;;;;;;;;;
12;axcubet2;MRI;ax;;T2w;tse;;;;;;;;;;
12;T2TSETRA;MRI;ax;;T2w;tse;;;;;;;;;;
12;Ob_Sag_RL_Average_sp50_th50;MRI;sag;;;;;;;;;;;;;
12;T2FLAIR;MRI;;;;flair;;;;;;;;;;
12;Ax3DTOF1slab;MRI;ax;;;;3D;;;;;;;;;
12;AXIALT22mmjcmm;MRI;ax;;T2w;tse;;;;;;;;;;
12;AXIALDIFUSIONB1000;MRI;ax;;dwi;;;;;;;;;;;
12;3DTOF3SLABWILLIS;MRI;;;;;3D;;;;;;;;;
12;axialT2FLAIR30;MRI;ax;;;flair;;;;;;;;;;
12;T1;MRI;;;T1w;;;;;;;;;;;
12;AXIALT2FSE;MRI;ax;;T2w;tse;;;;;;;;;;
12;corcubet2;MRI;cor;;T2w;tse;;;;;;;;;;
12;SAGFSET1CERVICAL;MRI;sag;;T1w;;;;;;;;;;;
12;sagT1FLAIR;MRI;sag;;T1w;flair;;;;;;;;;;
12;SAGITALT1CERVICAL;MRI;sag;;T1w;;;;;;;;;;;
12;SAGITALT2CERVICAL;MRI;sag;;T2w;tse;;;;;;;;;;
12;AX30;MRI;ax;;;;;;;;;;;;;
12;MPROb_Ax_SI_Average_sp10_th10;MRI;ax;;;;;;;;;;;;;
12;TENSORASSET;MRI;;;;;;;;;;;;;;
12;NEURON1mm;MRI;;;;;;;;;;;;;;
12;CORSTIRORB;MRI;cor;;;stir;;;;;;;;;;
11;CORDWI1000bASSET;MRI;cor;;dwi;;;;;;;;;;;
11;AxT2FSECERVICAL;MRI;ax;;T2w;tse;;;;;;;;;;
11;AXIALT2FRFSE44C;MRI;ax;;T2w;tse;;;;;;;;;;
11;AxFRFSET2ASSET20c;MRI;ax;;T2w;tse;;;;;;;;;;
11;AXIALT1FS;MRI;ax;;T1w;;;;;;;;;;;
11;SagT1FSEdorsalGD;MRI;sag;;T1w;;;;;;;;;;;
11;AX3DT1FSPGR8C5CM;MRI;ax;;T1w;;3D;;;;;;;;;
11;GADOSAG;MRI;sag;;;;;;;;;;;;;GD
11;AXT2FINO;MRI;ax;;T2w;tse;;;;;;;;;;
11;3D_Brain_View_FLAIR_SHC;MRI;;;;flair;3D;;;;;;;;;
11;SAGTSET2;MRI;sag;;T2w;tse;;;;;;;;;;
11;CORONALHASTET2;MRI;cor;;T2w;haste;;;;;;;;;;
11;DERECHA;MRI;;;;;;;;;;;;;;
11;T1W_SETRA;MRI;ax;;T1w;;;;;;;;;;;
11;spc_tra_IR;MRI;ax;;;;;;;;;;;;;
11;SAGT2FSEXL;MRI;sag;;T2w;tse;;;;;;;;;;
11;SAGITALT1TSEDORSGD;MRI;sag;;T1w;tse;;;;;;;;;;
11;SAG__T2_A_R__LINEA_MEDIA;MRI;sag;;T2w;tse;;;;;;;;;;
11;CORT2HIPOCAMPOS;MRI;cor;;T2w;tse;;;;;;;;;;
